signal_id,signal_description,latitude,longitude,assigned_count_stations,u,total_N_flow,total_S_flow,total_E_flow,total_W_flow,total_NE_flow,total_NW_flow,total_SE_flow,total_SW_flow,max_station_distance,average_station_distance,nonzero_direction_buckets,has_NS_pair,has_EW_pair,has_NESW_pair,has_NWSE_pair,NS_pair_volume,EW_pair_volume,NESW_pair_volume,NWSE_pair_volume
34452,ELLIOTT AVE W AND ELLIOTT ER AVE W,47.6199223296746,-122.360043304746,6,85283.0,8205.0,0.0,0.0,0.0,0.0,68086.0,8992.0,0.0,87.82391873100967,74.57137812389733,3,False,False,False,True,8205.0,0.0,0.0,77078.0
52522,RAINIER AVE S AND S GRAND ST,47.5869098567825,-122.304683339087,4,70605.0,17876.0,18472.0,0.0,0.0,0.0,16684.0,17573.0,0.0,61.32669348196562,61.32669348196562,4,True,False,False,True,36348.0,0.0,0.0,34257.0
52504,RAINIER AVE S AND S MASSACHUSETTS ST,47.5884106013057,-122.305827397845,4,68617.0,41212.0,22433.0,0.0,4972.0,0.0,0.0,0.0,0.0,141.24859639092665,72.44013710120026,3,True,False,False,False,63645.0,4972.0,0.0,0.0
82246,GREEN LAKE DR N AND N 83RD ST,47.6889837803926,-122.344273352768,7,67172.0,57287.0,0.0,0.0,0.0,0.0,7990.0,1895.0,0.0,137.44951098505655,122.84538804069555,3,False,False,False,True,57287.0,0.0,0.0,9885.0
39164,5TH AVE AND OLIVE WAY,47.6126653472639,-122.337393605715,8,66620.0,0.0,47560.0,0.0,0.0,14584.0,0.0,4476.0,0.0,79.22952713982943,79.22952713982943,3,False,False,False,False,47560.0,0.0,14584.0,4476.0
23140,ROOSEVELT WAY NE AND NE 41ST ST,47.6568893046295,-122.317819030181,8,58962.0,0.0,55073.0,3277.0,612.0,0.0,0.0,0.0,0.0,113.99373450232693,96.35080473858972,3,False,True,False,False,55073.0,3889.0,0.0,0.0
39659,1ST AVE AND BAY ST,47.6184675854726,-122.355133705861,5,58285.0,0.0,12444.0,11454.0,18181.0,0.0,16206.0,0.0,0.0,94.85017585810255,75.47128981811673,4,False,True,False,False,12444.0,29635.0,0.0,16206.0
54452,FAUNTLEROY WAY SW AND SW OREGON ST,47.5628722777448,-122.379285451196,7,49956.0,0.0,0.0,13339.0,3965.0,32652.0,0.0,0.0,0.0,149.57551402979908,120.705369360903,3,False,True,False,False,0.0,17304.0,32652.0,0.0
139101,BAY ST AND WESTERN AVE,47.6178024351124,-122.355992037171,8,49697.0,14344.0,0.0,0.0,0.0,0.0,31030.0,4323.0,0.0,125.0645404300546,125.0645404300546,3,False,False,False,True,14344.0,0.0,0.0,35353.0
76314,DELRIDGE WAY SW AND SW HENDERSON ST,47.5228613434302,-122.360099363484,8,47386.0,0.0,6955.0,11612.0,0.0,0.0,7197.0,21622.0,0.0,92.97507602042951,76.19241571575272,4,False,False,False,True,6955.0,11612.0,0.0,28819.0
