signal_id,signal_description,u,assigned_count_stations,dominant_corridor,dominant_corridor_volume,cross_flow_volume,continuation_ratio,departure_ratio,alpha_left,alpha_straight,alpha_right,max_station_distance,average_station_distance,total_N_flow,total_S_flow,total_E_flow,total_W_flow,total_NE_flow,total_NW_flow,total_SE_flow,total_SW_flow
34452,ELLIOTT AVE W AND ELLIOTT ER AVE W,85283.0,6,NWSE,77078.0,8205.0,0.9037909079183425,0.09620909208165754,0.04810454604082877,0.9037909079183425,0.04810454604082877,87.82391873100967,74.57137812389733,8205.0,0.0,0.0,0.0,0.0,68086.0,8992.0,0.0
52522,RAINIER AVE S AND S GRAND ST,70605.0,4,NS,36348.0,34257.0,0.5148077331633737,0.4851922668366263,0.24259613341831315,0.5148077331633737,0.24259613341831315,61.32669348196562,61.32669348196562,17876.0,18472.0,0.0,0.0,0.0,16684.0,17573.0,0.0
52504,RAINIER AVE S AND S MASSACHUSETTS ST,68617.0,4,NS,63645.0,4972.0,0.9275398224929682,0.07246017750703178,0.03623008875351589,0.9275398224929682,0.03623008875351589,141.24859639092665,72.44013710120026,41212.0,22433.0,0.0,4972.0,0.0,0.0,0.0,0.0
82246,GREEN LAKE DR N AND N 83RD ST,67172.0,7,NS,57287.0,9885.0,0.8528404692431371,0.14715953075686297,0.07357976537843149,0.8528404692431371,0.07357976537843149,137.44951098505655,122.84538804069555,57287.0,0.0,0.0,0.0,0.0,7990.0,1895.0,0.0
39164,5TH AVE AND OLIVE WAY,66620.0,8,NS,47560.0,19060.0,0.7138997298108676,0.28610027018913237,0.14305013509456618,0.7138997298108676,0.14305013509456618,79.22952713982943,79.22952713982943,0.0,47560.0,0.0,0.0,14584.0,0.0,4476.0,0.0
23140,ROOSEVELT WAY NE AND NE 41ST ST,58962.0,8,NS,55073.0,3889.0,0.934042264509345,0.06595773549065499,0.032978867745327496,0.934042264509345,0.032978867745327496,113.99373450232693,96.35080473858972,0.0,55073.0,3277.0,612.0,0.0,0.0,0.0,0.0
39659,1ST AVE AND BAY ST,58285.0,5,EW,29635.0,28650.0,0.5084498584541477,0.4915501415458523,0.24577507077292615,0.5084498584541477,0.24577507077292615,94.85017585810255,75.47128981811673,0.0,12444.0,11454.0,18181.0,0.0,16206.0,0.0,0.0
54452,FAUNTLEROY WAY SW AND SW OREGON ST,49956.0,7,NESW,32652.0,17304.0,0.6536151813595964,0.34638481864040355,0.17319240932020177,0.6536151813595964,0.17319240932020177,149.57551402979908,120.705369360903,0.0,0.0,13339.0,3965.0,32652.0,0.0,0.0,0.0
139101,BAY ST AND WESTERN AVE,49697.0,8,NWSE,35353.0,14344.0,0.711370907700666,0.288629092299334,0.144314546149667,0.711370907700666,0.144314546149667,125.0645404300546,125.0645404300546,14344.0,0.0,0.0,0.0,0.0,31030.0,4323.0,0.0
76314,DELRIDGE WAY SW AND SW HENDERSON ST,47386.0,8,NWSE,28819.0,18567.0,0.6081754104587853,0.3918245895412147,0.19591229477060734,0.6081754104587853,0.19591229477060734,92.97507602042951,76.19241571575272,0.0,6955.0,11612.0,0.0,0.0,7197.0,21622.0,0.0
37743,23RD AVE AND E DENNY WAY,47148.0,7,NESW,40554.0,6594.0,0.8601425299058284,0.13985747009417154,0.06992873504708577,0.8601425299058284,0.06992873504708577,143.90925870351026,129.45553389795728,6594.0,0.0,0.0,0.0,28521.0,0.0,0.0,12033.0
11304,20TH AVE NW AND NW MARKET ST,47031.0,8,EW,34622.0,12409.0,0.7361527503136229,0.26384724968637707,0.13192362484318854,0.7361527503136229,0.13192362484318854,140.09233904255248,104.28508491166336,2575.0,9834.0,0.0,34622.0,0.0,0.0,0.0,0.0
37533,23RD AVE E AND E ALOHA ST,46890.0,7,NS,38586.0,8304.0,0.8229046705054383,0.17709532949456175,0.08854766474728087,0.8229046705054383,0.08854766474728087,148.44121868525463,140.02120738332604,17698.0,20888.0,6400.0,1904.0,0.0,0.0,0.0,0.0
23510,MERIDIAN AVE N AND N 45TH ST,41432.0,5,EW,36508.0,4924.0,0.8811546630623672,0.11884533693763275,0.05942266846881637,0.8811546630623672,0.05942266846881637,143.55126499527478,139.97321399563893,0.0,4924.0,13900.0,22608.0,0.0,0.0,0.0,0.0
43120,ALASKAN WR WAY AND YESLER WAY,40115.0,6,NS,27002.0,13113.0,0.6731147949644771,0.3268852050355229,0.16344260251776144,0.6731147949644771,0.16344260251776144,134.18356899451555,134.18356899451555,11578.0,15424.0,0.0,0.0,0.0,4410.0,8703.0,0.0
5721,EAST GREEN LAKE DR N AND NE RAVENNA EB BV,38374.0,6,NS,20282.0,18092.0,0.5285349455360401,0.47146505446396,0.23573252723198,0.5285349455360401,0.23573252723198,146.55674319727603,127.08795922476217,6216.0,14066.0,0.0,0.0,10711.0,0.0,0.0,7381.0
80311,M L KING JR WR WAY S AND S HENDERSON ST,36134.0,4,NS,26229.0,9905.0,0.725881441301821,0.274118558698179,0.1370592793490895,0.725881441301821,0.1370592793490895,122.51530896861294,75.43735944197438,26229.0,0.0,4191.0,5714.0,0.0,0.0,0.0,0.0
23190,ROOSEVELT WAY NE AND NE 40TH ALLEY ST,34911.0,5,NS,20308.0,14603.0,0.5817077711895964,0.4182922288104036,0.2091461144052018,0.5817077711895964,0.2091461144052018,106.65978738166264,85.64359007343383,3837.0,16471.0,0.0,0.0,14603.0,0.0,0.0,0.0
13519,AURORA AVE N AND N 62ND ST,33532.0,6,NWSE,18423.0,15109.0,0.5494154837170464,0.4505845162829536,0.2252922581414768,0.5494154837170464,0.2252922581414768,124.08341583720924,100.8068307043394,0.0,0.0,9759.0,0.0,0.0,7908.0,10515.0,5350.0
82146,8TH AVE NE AND WEEDIN E PL NE,31814.0,8,NS,28903.0,2911.0,0.9084994027786509,0.0915005972213491,0.04575029861067455,0.9084994027786509,0.04575029861067455,64.20899840529906,60.34199462714156,14749.0,14154.0,0.0,0.0,0.0,2911.0,0.0,0.0
64508,4TH AVE S AND S DAWSON ST,29605.0,7,NS,21206.0,8399.0,0.7162979226482014,0.2837020773517987,0.14185103867589935,0.7162979226482014,0.14185103867589935,141.01227335047832,139.0595736978098,21206.0,0.0,2671.0,5728.0,0.0,0.0,0.0,0.0
39122,BOREN AVE AND VIRGINIA ST,29418.0,5,NWSE,14598.0,14820.0,0.4962267999184173,0.5037732000815827,0.25188660004079133,0.4962267999184173,0.25188660004079133,43.32826428985544,39.954442468087926,6775.0,0.0,0.0,0.0,8045.0,14598.0,0.0,0.0
82196,WEST MARGINAL WAY SW AND SW SPOKANE ST,28670.0,4,NWSE,14886.0,13784.0,0.5192186955005232,0.4807813044994768,0.2403906522497384,0.5192186955005232,0.2403906522497384,27.476643440090992,27.476643440090992,0.0,0.0,13784.0,0.0,0.0,7699.0,7187.0,0.0
14132,12TH AVE NE AND NE RAVENNA EB BV,28054.0,7,EW,18467.0,9587.0,0.6582662008982676,0.34173379910173235,0.17086689955086617,0.6582662008982676,0.17086689955086617,93.34264011528076,89.43963818012284,0.0,0.0,4187.0,14280.0,0.0,3845.0,5742.0,0.0
11453,15TH SB AVE NW AND NW LEARY WAY,26868.0,5,EW,15797.0,11071.0,0.5879484889087391,0.412051511091261,0.2060257555456305,0.5879484889087391,0.2060257555456305,132.51438868993915,89.21685681912268,0.0,11071.0,6380.0,9417.0,0.0,0.0,0.0,0.0
23704,2ND AVE NE AND NE NORTHLAKE WAY,26821.0,8,NESW,20449.0,6372.0,0.7624249655120987,0.23757503448790127,0.11878751724395063,0.7624249655120987,0.11878751724395063,148.18998520895022,146.35518092436223,0.0,0.0,3500.0,2872.0,12524.0,0.0,0.0,7925.0
31515,22ND AVE E AND E ROANOKE ST,26128.0,4,NWSE,21503.0,4625.0,0.8229868340477648,0.17701316595223515,0.08850658297611758,0.8229868340477648,0.08850658297611758,128.4729284233969,108.67091012923996,0.0,0.0,3160.0,1465.0,0.0,0.0,21503.0,0.0
40532,MELROSE AVE AND PIKE ST,26026.0,5,NESW,20976.0,5050.0,0.8059632675017291,0.19403673249827097,0.09701836624913548,0.8059632675017291,0.09701836624913548,127.34048038352277,127.34048038352277,0.0,0.0,0.0,5050.0,16331.0,0.0,0.0,4645.0
22811,FREMONT TURN RD AND N 38TH ST,25423.0,7,NS,17173.0,8250.0,0.6754906973999921,0.3245093026000079,0.16225465130000394,0.6754906973999921,0.16225465130000394,106.22731967605829,88.89158454519698,0.0,17173.0,7.0,189.0,3241.0,0.0,0.0,4813.0
14253,8TH AVE NE AND NE RAVENNA WB BV,24337.0,6,NWSE,23322.0,1015.0,0.9582939557053047,0.04170604429469532,0.02085302214734766,0.9582939557053047,0.02085302214734766,116.35569419290401,88.89426612865613,0.0,1015.0,0.0,0.0,0.0,11757.0,11565.0,0.0
226456,PINEHURST WAY NE AND ROOSEVELT N WAY NE,22087.0,5,NESW,16570.0,5517.0,0.7502150586317744,0.24978494136822565,0.12489247068411283,0.7502150586317744,0.12489247068411283,65.88146617446395,64.6897815608724,0.0,2775.0,0.0,0.0,4933.0,0.0,2742.0,11637.0
39137,7TH AVE AND VIRGINIA ST,20914.0,4,EW,6839.0,14075.0,0.32700583341302475,0.6729941665869752,0.3364970832934876,0.32700583341302475,0.3364970832934876,62.24503894689335,58.34489778518452,0.0,3559.0,6839.0,0.0,6703.0,0.0,3813.0,0.0
23550,4TH AVE NE AND NE 40TH ST,19850.0,5,EW,15662.0,4188.0,0.7890176322418136,0.2109823677581864,0.1054911838790932,0.7890176322418136,0.1054911838790932,137.24566125681508,137.24566125681508,0.0,4188.0,8858.0,6804.0,0.0,0.0,0.0,0.0
40520,BOREN AVE AND OLIVE WAY,19739.0,4,EW,10255.0,9484.0,0.519529864734789,0.480470135265211,0.2402350676326055,0.519529864734789,0.2402350676326055,115.79621136913207,115.79621136913207,0.0,0.0,8553.0,1702.0,9484.0,0.0,0.0,0.0
34507,ELLIOTT AVE W AND W GALER ST,18111.0,7,EW,14346.0,3765.0,0.792115289050853,0.20788471094914693,0.10394235547457346,0.792115289050853,0.10394235547457346,115.34468054634704,115.34468054634704,0.0,0.0,9392.0,4954.0,2549.0,0.0,0.0,1216.0
31321,25TH AVE E AND BOYER AVE E,17915.0,6,NWSE,12415.0,5500.0,0.6929946971811332,0.3070053028188669,0.15350265140943345,0.6929946971811332,0.15350265140943345,125.87455115654562,125.87455115654562,0.0,0.0,2255.0,3245.0,0.0,4883.0,7532.0,0.0
220720,MERIDIAN AVE N AND N 132ND ST,16018.0,8,NS,13401.0,2617.0,0.8366213010363341,0.16337869896366589,0.08168934948183294,0.8366213010363341,0.08168934948183294,128.42945916439112,128.42945916439112,5509.0,7892.0,0.0,0.0,0.0,1336.0,1281.0,0.0
15547,NE 56TH ST AND NE RAVENNA EB BV,15737.0,5,NWSE,6261.0,9476.0,0.3978521954629218,0.6021478045370782,0.3010739022685391,0.3978521954629218,0.3010739022685391,78.56572714448993,78.56572714448993,0.0,0.0,0.0,5930.0,0.0,6261.0,0.0,3546.0
22106,WOODLAWN AVE N AND N 45TH W ST,15271.0,4,EW,14741.0,530.0,0.9652936939296706,0.03470630607032938,0.01735315303516469,0.9652936939296706,0.01735315303516469,134.52017244951628,103.55187512917034,299.0,231.0,7536.0,7205.0,0.0,0.0,0.0,0.0
39120,TERRY AVE AND VIRGINIA ST,14469.0,4,EW,13236.0,1233.0,0.9147833298776695,0.0852166701223305,0.04260833506116525,0.9147833298776695,0.04260833506116525,117.09916149507833,117.09916149507833,0.0,0.0,12182.0,1054.0,0.0,0.0,0.0,1233.0
58364,29TH AVE S AND S COLUMBIAN WAY,13357.0,6,NESW,7535.0,5822.0,0.5641236804671708,0.43587631953282924,0.21793815976641462,0.5641236804671708,0.21793815976641462,147.82033704666512,147.82033704666512,0.0,0.0,2509.0,3313.0,2914.0,0.0,0.0,4621.0
234718,RAVENNA AVE NE AND NE 92ND ST,13332.0,6,NWSE,12667.0,665.0,0.9501200120012001,0.04987998799879988,0.02493999399939994,0.9501200120012001,0.02493999399939994,45.52717801534402,44.74984990204118,0.0,125.0,540.0,0.0,0.0,6937.0,5730.0,0.0
5736,4TH AVE NE AND WOODLAWN S AVE NE,12642.0,6,NESW,11848.0,794.0,0.9371934820439803,0.06280651795601962,0.03140325897800981,0.9371934820439803,0.03140325897800981,131.36687410876587,131.36687410876587,0.0,0.0,0.0,0.0,4905.0,794.0,0.0,6943.0
45111,31ST AVE AND E YESLER WAY,12167.0,6,EW,6333.0,5834.0,0.5205062874989727,0.47949371250102735,0.23974685625051367,0.5205062874989727,0.23974685625051367,149.56725866054933,145.31567045313167,4291.0,1543.0,0.0,6333.0,0.0,0.0,0.0,0.0
15528,15TH AVE NE AND COWEN PL NE,11642.0,5,NS,6617.0,5025.0,0.5683731317643017,0.43162686823569835,0.21581343411784917,0.5683731317643017,0.21581343411784917,70.98842650461121,70.4500081496797,6617.0,0.0,0.0,0.0,1836.0,0.0,0.0,3189.0
26301,CLISE PL W AND W LYNN ST,11166.0,5,EW,9390.0,1776.0,0.8409457281031704,0.15905427189682966,0.07952713594841483,0.8409457281031704,0.07952713594841483,93.24334692592282,90.98888585622758,1776.0,0.0,4843.0,4547.0,0.0,0.0,0.0,0.0
51104,14TH AVE S AND S MASSACHUSETTS ST,11069.0,6,NS,8329.0,2740.0,0.7524618303369771,0.24753816966302286,0.12376908483151143,0.7524618303369771,0.12376908483151143,138.47411079145323,129.97989757060068,5471.0,2858.0,1870.0,870.0,0.0,0.0,0.0,0.0
