hour,hour_constant,average_hourly_traffic
1,0.010368185275112395,975.701248171282
2,0.006792890131656022,975.701248171282
3,0.005285668270376166,975.701248171282
4,0.00403828762636857,975.701248171282
5,0.006140720979116291,975.701248171282
6,0.01523629800508417,975.701248171282
7,0.0339105731883668,975.701248171282
8,0.0558086817286714,975.701248171282
9,0.06193794487564826,975.701248171282
10,0.05609445376560905,975.701248171282
11,0.05297625203316177,975.701248171282
12,0.056299869734230554,975.701248171282
13,0.059861079151002757,975.701248171282
14,0.06092233490449042,975.701248171282
15,0.06438111978056474,975.701248171282
16,0.07053768918894571,975.701248171282
17,0.0757689171002905,975.701248171282
18,0.07740020639412461,975.701248171282
19,0.06478281893106873,975.701248171282
20,0.048348308919538646,975.701248171282
21,0.03908241337800719,975.701248171282
22,0.03394287372848196,975.701248171282
23,0.024616705903483842,975.701248171282
24,0.015465707006599463,975.701248171282
